	Protocol	acq	task	rec	ce	dir	part	folder	Manufacturer	ManufacturersModelName	ScanningSequence	SequenceVariant	ScanOptions	SequenceName	ImageType	AngioFlag	MagneticFieldStrength	RepetitionTime	InversionTime	FlipAngle	EchoTime	NumberOfAverages	RawImage	DerivedVendorReportedEchoSpacing	EffectiveEchoSpacing	TotalReadoutTime
11	dwi	tracew				AP		dwi	"[""Siemens""]"	MAGNETOM Vida	"[""GR\\EP"", “EP”]"	"[""SK"",  ""SK\\SP""]"	"[""CG\\RG\\FS\\PER"", ""FS\\PER""]"	[“*ep_b1000t”]	[[“DERIVED”, “PRIMARY”, “DIFFUSION”, “TRACEW”, “ND”, “NORM”, “MFSPLIT”],[“DERIVED”, “PRIMARY”, “DIFFUSION”, “TRACEW”]]	N	[3.0]	[8.9]	 [-1]	[90.0]	[0.078]	[-1]		[0.00096]	[0.00032]	[0.03552]
12	dwi	FA				AP		dwi	"[""Siemens""]"	MAGNETOM Vida	"[""GR\\EP"", “EP”]"	"[""SK"",  ""SK\\SP""]"	"[""CG\\RG\\FS\\PER"", ""FS\\PER""]"	[“*ep_b0_1000”]	[[“DERIVED”, “PRIMARY”, “DIFFUSION”, “FA”, “ND”, “NORM”, “MFSPLIT”],[“DERIVED”, “PRIMARY”, “DIFFUSION”, “FA”]]	N	[3.0]	[8.9]	 [-1]	[90.0]	[0.078]	[-1]		[0.00096]	[0.00032]	[0.03552]
13	dwi	tensorb0				AP		dwi	"[""Siemens""]"	MAGNETOM Vida	"[""GR\\EP"", “EP”]"	"[""SK"",  ""SK\\SP""]"	"[""CG\\RG\\FS\\PER"", ""FS\\PER""]"	[“*ep_b0_1000”]	[[“DERIVED”, “PRIMARY”, “DIFFUSION”, “TENSOR”, “B0”, “ND”, “NORM”, “MFSPLIT”],[“DERIVED”, “PRIMARY”, “DIFFUSION”, “TENSOR”, “B0”]]	N	[3.0]	[8.9]	 [-1]	[90.0]	[0.078]	[-1]		[0.00096]	[0.00032]	[0.03552]
14	dwi	adc				AP		dwi	"[""Siemens""]"	MAGNETOM Vida	"[""GR\\EP"", “EP”]"	"[""SK"",  ""SK\\SP""]"	"[""CG\\RG\\FS\\PER"", ""FS\\PER""]"	[“*ep_b0_1000”]	[[“DERIVED”, “PRIMARY”, “DIFFUSION”, “ADC”, “ND”, “NORM”, “MFSPLIT”],[“DERIVED”, “PRIMARY”, “DIFFUSION”, “ADC”]]	N	[3.0]	[8.9]	 [-1]	[90.0]	[0.078]	[-1]		[0.00096]	[0.00032]	[0.03552]
15	T2starw							anat	"[""Siemens""]"	MAGNETOM Vida	"[""GR""]"	"[""SK""]"	"[""CG\\RG\\PER""]"	[“*fl2d1r”]	[[“ORIGINAL”, “PRIMARY”, “M”, “NORM”, “DIS2D”, “MFSPLIT”]]	N	[3.0]	[0.64]	 [-1]	[20.0]	[0.02]	[-1]		[-1]	[-1]	[-1]
16	T2w	swi						anat	"[""Siemens""]"	MAGNETOM Vida	"[""GR""]"	"[""SK"", ""SP""]"	"[""CG\\RG\\PER"", ""PER""]"	[“*swi3d1r”]	[[“ORIGINAL”, “PRIMARY”, “M”, “SWI”, “NORM”, “DIS2D”, “MFSPLIT”], [“ORIGINAL”, “PRIMARY”, “SWI”, “NONE”], [“ORIGINAL”, “PRIMARY”, “M”, “SWI”, “DIS2D”, “MFSPLIT”]]	N	[3.0]	[0.028]	 [-1]	[15.0]	[0.02]	[-1]		[-1]	[-1]	[-1]
17	T2w	mIP						anat	"[""Siemens""]"	MAGNETOM Vida	"[""GR""]"	"[""SK"", ""SP""]"	"[""CG\\RG\\PER"", ""PER""]"	[“*swi3d1r”]	[[“DERIVED”, “PRIMARY”, “MNIP”, “NORM”, “DIS2D”, “MFSPLIT”], [“DERIVED”, “PRIMARY”, “MNIP”, “ND”, “NORM”, “MFSPLIT”], [“DERIVED”, “PRIMARY”, “SWI”, “MINIMUM”], [“DERIVED”, “PRIMARY”, “MNIP”, “DIS2D”, “MFSPLIT”]]	N	[3.0]	[0.028]	 [-1]	[15.0]	[0.02]	[-1]		[-1]	[-1]	[-1]
12	dwi	coilFA				AP		dwi	"[""Siemens""]"	MAGNETOM Vida	"[""GR\\EP"", “EP”]"	"[""SK"",  ""SK\\SP""]"	"[""CG\\RG\\FS\\PER"", ""FS\\PER""]"	[“*ep_b0_1000”]	[[“DERIVED”, “PRIMARY”, “DIFFUSION”, “FA”, “ND”, “NORM”, “MFSPLIT”],[“DERIVED”, “PRIMARY”, “DIFFUSION”, “FA”]]	N	[3.0]	[8.9]	 [-1]	[90.0]	[0.078]	[-1]		[0.00096]	[0.00032]	[0.03552]
13	bold		rest					func	"[""Siemens""]"	MAGNETOM Vida	"[""GR\\EP""]"	"[""SK""]"	"[""CG\\RG\\FS\\PER""]"	[“*epfid2d1_64”]	[[“ORIGINAL”, “PRIMARY”, “M”, “ND”, “NORM”, “MFSPLIT”]]		[]	[4.0]	 [-1]	[80.0]	[0.06]	[-1]		[0.00072]	[0.00036]	[0.02268]
14	bold	openeyes	rest					func	"[""Siemens""]"	MAGNETOM Vida	"[""GR\\EP""]"	"[""SK""]"	"[""CG\\RG\\FS\\PER""]"	[“*epfid2d1_64”]	[[“ORIGINAL”, “PRIMARY”, “M”, “ND”, “NORM”, “MFSPLIT”]]		[]	[2.46]	 [-1]	[80.0]	[0.03]	[-1]		[0.00072]	[0.00036]	[0.02268]
15	T1w							anat	"[""Philips""]"	[“Ingenia Elition X”, “Achieva”]	"[""GR""]"	[“MP”]	[“FC”]	[“”]	[[“ORIGINAL”, “PRIMARY”, “M”, “FFE”, “M”, “FFE”], [“ORIGINAL”, “SECONDARY”, “M”, “FFE”, “M”, “FFE”]]	N	[3.0]	[0.0125593, 0.0128999]	 [-1]	[8.0]	[0.007056, 0.007216]	[-1]	FALSE	[-1]	[-1]	[-1]
16	T1w	mprage						anat	"[""Siemens""]"	"[""Aera"", ""IMPAX Volume Viewing 3.0""]"	"[""GR\\IR""]"	"[""SK\\SP\\MP\\OSP""]"	"[""IR""]"	"[""*tfl3d1_16ns""]"	"[[""ORIGINAL"", ""PRIMARY"", ""M"", ""ND"", ""NORM"", ""FM3"", ""2"", ""FIL""], [""DERIVED"", ""SECONDARY"", ""MPR"", ""CSA MPR"", ""CSAPARALLEL"", ""M"", ""ND"", ""NORM"", ""FM3"", ""2"", ""FIL""], [""DERIVED"", ""SECONDARY"", ""CLINAPPS"", ""VV"", ""MPR""], [""DERIVED"", ""SECONDARY"", ""CLINAPPS"", ""OTHER""]]"	N	[1.5]	[2.2, 2.2]	 [-1]	[8.0, 8.0]	[0.00266, 0.00266]	[-1]		[-1]	[-1]	[-1]
17	FLAIR							anat	"[""Siemens""]"	"[""Aera"", ""IMPAX Volume Viewing 3.0""]"	"[""SE\\IR"", ""GR""]"	"[""SK\\SP\\MP\\OSP"", ""SP""]"	"[""IR\\PFP\\FS"", “”]"	"[""*spcir_242ns"", ""*fl2d1r""]"	"[[""ORIGINAL"", ""PRIMARY"", ""M"", ""ND"", ""NORM"", ""FM3"", ""2"", ""FIL""], [""DERIVED"", ""SECONDARY"", ""CLINAPPS"", ""VV"", ""MPR""], [""DERIVED"", ""SECONDARY"", ""CLINAPPS"", ""OTHER""]]"	N	[1.5]	[0.8, 5.0]	 [-1]	[20.0, 120.0]	[0.025, 0.334]	[-1]		[-1]	[-1]	[-1]
18	PDT2	tse						anat	"[""Siemens""]"	"[""Aera"", ""IMPAX Volume Viewing 3.0""]"	"[""SE""]"	"[""SK\\SP\\OSP""]"	[“”]	"[""*tse2d2_5""]"	"[[""ORIGINAL"", ""PRIMARY"", ""M"", ""ND"", ""NORM"", ""FM3"", ""2"", ""FIL""]]"	N	[1.5]	[0.0175, 0.02625]	 [-1]	[149.0, 150.0]	[0.011, 0.011]	[-1]		[-1]	[-1]	[-1]
19	T1w	ahead						anat	"[""Siemens""]"	"[""Aera"", ""IMPAX Volume Viewing 3.0""]"	"[""GR""]"	"[""SP""]"	"[""PFP""]"	"[""*fl3d1_ns""]"	"[[""ORIGINAL"", ""PRIMARY"", ""M"", ""ND"", ""NORM""]]"	N	[1.5]	[0.00452, 0.00452]	 [-1]	[8.0, 8.0]	[0.00238, 0.00238]	[-1]		[-1]	[-1]	[-1]
20	dwi					AP		dwi	"[""Siemens""]"	"[""Aera"", ""IMPAX Volume Viewing 3.0""]"	[“”]	[“”]	[“”]		[“”]	N	[]	[]	[]	[]	[]	[]		[]	[]	[]
21	dwi	b0				PA		dwi	"[""Siemens""]"	"[""Aera"", ""IMPAX Volume Viewing 3.0""]"	[“”]	[“”]	[“”]		[“”]	N	[]	[]	[]	[]	[]	[]		[]	[]	[]
22	dwi	tracew				AP		dwi	"[""Siemens""]"	"[""Aera"", ""IMPAX Volume Viewing 3.0""]"	"[""EP""]"	"[""SK\\SP""]"	"[""PFP\\FS""]"	"[""*ep_b1000t"", ""*ep_b0""]"	"[[""DERIVED"", ""PRIMARY"", ""DIFFUSION"", ""TRACEW"", ""ND""]]"	N	[1.5]	[3.2, 18.9006]		[90.0, 90.0]	[0.089, 0.089]	[-1]	FALSE	[0.000960003, 0.000979931]	[0.000480001, 0.000489965]	[0.0609602, 0.187657]
23	dwi	FA				AP		dwi	"[""Siemens""]"	"[""Aera"", ""IMPAX Volume Viewing 3.0""]"	"[""EP""]"	"[""SK\\SP""]"	"[""PFP\\FS""]"	"[""*ep_b0_1000""]"	"[[""DERIVED"", ""PRIMARY"", ""DIFFUSION"", ""FA"", ""ND""]]"	N	[1.5]	[]		[90.0, 90.0]	[0.085, 0.085]	[-1]	FALSE	[0.000960003, 0.000960003]	[0.000480001, 0.000480001]	[0.0609602, 0.0609602]
24	dwi	tensorb0				AP		dwi	"[""Siemens""]"	"[""Aera"", ""IMPAX Volume Viewing 3.0""]"	"[""EP""]"	"[""SK\\SP""]"	"[""PFP\\FS""]"	"[""*ep_calc_b1500""]"	"[[""DERIVED"", ""PRIMARY"", ""DIFFUSION"", ""CALC"", ""BVALUE"", ""TRACEW"", ""ND""]]"	N	[1.5]	[6.3, 6.3]		[90.0, 90.0]	[0.089, 0.089]	[-1]	FALSE	[0.000979931, 0.000979931]	[0.000489965, 0.000489965]	[0.187657, 0.187657]
25	dwi	adc				AP		dwi	"[""Siemens""]"	"[""Aera"", ""IMPAX Volume Viewing 3.0""]"	"[""EP""]"	"[""SK\\SP""]"	"[""PFP\\FS""]"	"[""*ep_b0_1000""]"	"[[""DERIVED"", ""PRIMARY"", ""DIFFUSION"", ""ADC"", ""ND""]]"	N	[1.5]	[3.2, 6.3]		[90.0, 90.0]	[0.085, 0.089]	[-1]	FALSE	[0.000960003, 0.000979931]	[0.000480001, 0.000489965]	[0.0609602, 0.187657]
26	dwi	coilFA				AP		dwi	"[""Siemens""]"	"[""Aera"", ""IMPAX Volume Viewing 3.0""]"	[“”]	[“”]	[“”]	[“”]	[“”]	[“”]	[]	[]	[]	[]	[]	[-1]	FALSE	[0.000960003, 0.000960003]	[0.000480001, 0.000480001]	[0.0609602, 0.0609602]
27	dwi	moco				AP		dwi	"[""Siemens""]"	"[""Aera"", ""IMPAX Volume Viewing 3.0""]"	"[""EP""]"	"[""SK""]"	"[""PFP\\FS""]"	"[""*epfid2d1_64""]"	"[[""ORIGINAL"", ""PRIMARY"", ""FMRI"", ""NONE"", ""ND"", ""MOSAIC""]]"	N	[1.5]	[4.0, 4.0]		[90.0, 90.0]	[0.05, 0.05]	[-1]		[0.000489996, 0.000489996]	[0.000244998, 0.000244998]	[0.0154349, 0.0154349]
28	dwi	mddw				AP		dwi	"[""Siemens""]"	"[""Aera"", ""IMPAX Volume Viewing 3.0""]"	"[""EP""]"	"[""SK""]"	"[""FS""]"	"[""*ep_b0""]"	"[[""ORIGINAL"", ""PRIMARY"", ""DIFFUSION"", ""NONE"", ""ND"", ""MOSAIC""]]"	N	[1.5]	[3.2, 3.2]		[90.0, 90.0]	[0.085, 0.085]	[-1]		[0.000960003, 0.000960003]	[0.000480001, 0.000480001]	[0.0609602, 0.0609602]
